country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Norway,663M,,,,,,,,,,752M,,,,,819M,,,,,885M,,,,,952M
Nepal,1.28B,,,,,,,,,,1.04B,,,,,969M,,,,,969M,,,,,969M
Nauru,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
New Zealand,2.49B,,,,,,,,,,2.62B,,,,,2.67B,,,,,2.73B,,,,,2.78B
Pakistan,703M,,,,,,,,,,576M,,,,,517M,,,,,453M,,,,,370M
Panama,1.32B,,,,,,,,,,1.28B,,,,,1.25B,,,,,1.23B,,,,,1.21B
Peru,18.8B,,,,,,,,,,18.5B,,,,,18.4B,,,,,18.2B,,,,,19.8B
Philippines,1.37B,,,,,,,,,,1.38B,,,,,1.35B,,,,,1.26B,,,,,1.44B
Palau,20.2M,,,,,,,,,,20.9M,,,,,21.3M,,,,,21.3M,,,,,21.3M
Papua New Guinea,13.8B,,,,,,,,,,13.8B,,,,,13.8B,,,,,13.8B,,,,,13.8B
Poland,994M,,,,,,,,,,1.16B,,,,,1.28B,,,,,1.63B,,,,,1.75B
Puerto Rico,28.5M,,,,,,,,,,34.1M,,,,,38.2M,,,,,44.2M,,,,,50.2M
North Korea,509M,,,,,,,,,,440M,,,,,404M,,,,,364M,,,,,323M
Portugal,237M,,,,,,,,,,232M,,,,,216M,,,,,218M,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,43.2M,,,,,43.2M
Qatar,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
Reunion,12.6M,,,,,,,,,,12.6M,,,,,12.3M,,,,,12.7M,,,,,12.7M
Romania,815M,,,,,,,,,,814M,,,,,818M,,,,,833M,,,,,1.31B
Russia,65B,,,,,,,,,,64.3B,,,,,64.4B,,,,,65B,,,,,65.6B
Rwanda,74.9M,,,,,,,,,,37.4M,,,,,73.5M,,,,,84M,,,,,91M
Saudi Arabia,12.6M,,,,,,,,,,12.6M,,,,,12.6M,,,,,12.6M,,,,,12.6M
Sudan,5.09B,,,,,,,,,,4.87B,,,,,4.44B,,,,,4.33B,,,,,4.2B
Senegal,799M,,,,,,,,,,760M,,,,,741M,,,,,724M,,,,,707M
Svalbard,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
Solomon Islands,406M,,,,,,,,,,397M,,,,,392M,,,,,387M,,,,,381M
Sierra Leone,526M,,,,,,,,,,493M,,,,,476M,,,,,460M,,,,,443M
San Marino,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
Somalia,1.03B,,,,,,,,,,933M,,,,,883M,,,,,838M,,,,,787M
Serbia,260M,,,,,,,,,,294M,,,,,312M,,,,,500M,,,,,504M
St. Barthélemy,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
Sao Tome and Principe,17M,,,,,,,,,,17M,,,,,17M,,,,,16M,,,,,16M
Suriname,4.14B,,,,,,,,,,4.12B,,,,,4.12B,,,,,4.11B,,,,,4.11B
Slovak Republic,329M,,,,,,,,,,383M,,,,,409M,,,,,427M,,,,,441M
Slovenia,188M,,,,,,,,,,228M,,,,,258M,,,,,281M,,,,,300M
Sweden,1.9B,,,,,,,,,,2.03B,,,,,2.18B,,,,,2.21B,,,,,2.23B
Eswatini,48.1M,,,,,,,,,,47.5M,,,,,47M,,,,,46.7M,,,,,46.4M
Seychelles,7.59M,,,,,,,,,,7.59M,,,,,7.59M,,,,,7.59M,,,,,7.59M
Chad,786M,,,,,,,,,,741M,,,,,719M,,,,,645M,,,,,571M
Thailand,1.93B,,,,,,,,,,1.88B,,,,,1.87B,,,,,1.87B,,,,,1.84B
Tajikistan,6.1M,,,,,,,,,,5.6M,,,,,5.6M,,,,,5.6M,,,,,5.6M
Tokelau,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0
Turkmenistan,24M,,,,,,,,,,24.2M,,,,,25M,,,,,25M,,,,,25M
Tonga,2.18M,,,,,,,,,,2.18M,,,,,2.18M,,,,,2.18M,,,,,2.18M
Trinidad and Tobago,43.7M,,,,,,,,,,42.4M,,,,,41.9M,,,,,40.8M,,,,,
Tunisia,12.4M,,,,,,,,,,16.1M,,,,,17.5M,,,,,18.9M,,,,,19.7M
Turkey,1.09B,,,,,,,,,,1.21B,,,,,1.29B,,,,,1.44B,,,,,1.62B
Tanzania,14B,,,,,,,,,,13B,,,,,12.5B,,,,,12B,,,,,11.6B
Uganda,365M,,,,,,,,,,297M,,,,,264M,,,,,214M,,,,,163M
Ukraine,997M,,,,,,,,,,1.32B,,,,,1.42B,,,,,1.51B,,,,,1.56B
United States,28.9B,,,,,,,,,,31.4B,,,,,32.8B,,,,,34.1B,,,,,34.7B
Uzbekistan,16.7M,,,,,,,,,,29.8M,,,,,37.2M,,,,,41M,,,,,88.7M
Virgin Islands (U.S.),,,,,,,,,,,440k,,,,,670k,,,,,880k,,,,,1.11M
Vietnam,1.65B,,,,,,,,,,1.97B,,,,,2.05B,,,,,2.1B,,,,,2.18B
Wallis et Futuna,1.37M,,,,,,,,,,1.36M,,,,,1.36M,,,,,1.35M,,,,,1.35M
Yemen,11M,,,,,,,,,,11M,,,,,11M,,,,,11M,,,,,11M
South Africa,1.72B,,,,,,,,,,1.72B,,,,,1.72B,,,,,1.72B,,,,,1.72B
Zambia,5.49B,,,,,,,,,,5.31B,,,,,5.23B,,,,,5.14B,,,,,5.12B
Zimbabwe,1.48B,,,,,,,,,,1.26B,,,,,1.16B,,,,,1.04B,,,,,941M
